"mmsi","year","month","hours","kir","post","date"
440636000,2012,3,690.138611111111,FALSE,FALSE,2012-03-01
441650000,2012,3,704.458472222222,FALSE,FALSE,2012-03-01
440770000,2012,3,585.93125,FALSE,FALSE,2012-03-01
440645000,2012,3,538.095138888889,FALSE,FALSE,2012-03-01
440954000,2012,3,522.619583333333,FALSE,FALSE,2012-03-01
440648000,2012,3,545.683472222222,FALSE,FALSE,2012-03-01
441081000,2012,3,426.026805555555,FALSE,FALSE,2012-03-01
440751000,2012,3,582.817361111111,FALSE,FALSE,2012-03-01
440517000,2012,3,630.661388888889,FALSE,FALSE,2012-03-01
440986000,2012,3,648.458333333333,FALSE,FALSE,2012-03-01
440612000,2012,3,725.123472222222,FALSE,FALSE,2012-03-01
440778000,2012,3,665.520555555556,FALSE,FALSE,2012-03-01
440926000,2012,3,391.025694444444,FALSE,FALSE,2012-03-01
441811000,2012,3,713.683611111111,FALSE,FALSE,2012-03-01
441043000,2012,3,446.449166666667,FALSE,FALSE,2012-03-01
440647000,2012,3,740.348055555556,FALSE,FALSE,2012-03-01
440620000,2012,3,627.6425,FALSE,FALSE,2012-03-01
440931000,2012,3,571.749861111111,FALSE,FALSE,2012-03-01
440670000,2012,3,586.744166666667,FALSE,FALSE,2012-03-01
440549000,2012,3,581.556666666667,FALSE,FALSE,2012-03-01
440963000,2012,3,638.725277777778,FALSE,FALSE,2012-03-01
538060006,2012,5,13.025,FALSE,FALSE,2012-05-01
735057565,2012,5,22.14875,FALSE,FALSE,2012-05-01
440990000,2012,4,15.3879166666667,FALSE,FALSE,2012-04-01
36764000,2012,4,50.9344444444444,FALSE,FALSE,2012-04-01
440990000,2012,7,8.11583333333333,FALSE,FALSE,2012-07-01
440492000,2012,4,36.9261111111111,FALSE,FALSE,2012-04-01
440705000,2012,4,94.7504166666667,FALSE,FALSE,2012-04-01
440045000,2012,7,18.3751388888889,FALSE,FALSE,2012-07-01
441090000,2012,4,279.982222222222,FALSE,FALSE,2012-04-01
441483000,2012,4,153.849444444444,FALSE,FALSE,2012-04-01
576375000,2012,4,16.6241666666667,FALSE,FALSE,2012-04-01
440826000,2012,5,0.311111111111111,FALSE,FALSE,2012-05-01
440233000,2012,3,59.0952777777778,FALSE,FALSE,2012-03-01
440450000,2012,2,78.9669444444445,FALSE,FALSE,2012-02-01
440108000,2012,2,47.4369444444444,FALSE,FALSE,2012-02-01
440968000,2012,2,77.2288888888889,FALSE,FALSE,2012-02-01
440624000,2012,2,534.886666666667,FALSE,FALSE,2012-02-01
440503000,2012,2,482.696111111111,FALSE,FALSE,2012-02-01
440958000,2012,2,578.665555555555,FALSE,FALSE,2012-02-01
520227000,2012,2,582.76375,FALSE,FALSE,2012-02-01
440992000,2012,2,617.961944444445,FALSE,FALSE,2012-02-01
441645000,2012,2,437.674027777778,FALSE,FALSE,2012-02-01
440933000,2012,2,460.404722222222,FALSE,FALSE,2012-02-01
529414000,2012,2,492.489027777778,TRUE,FALSE,2012-02-01
440669000,2012,2,603.611527777778,FALSE,FALSE,2012-02-01
441043000,2012,2,473.024861111111,FALSE,FALSE,2012-02-01
441812000,2012,2,514.403472222222,FALSE,FALSE,2012-02-01
440927000,2012,2,450.030833333333,FALSE,FALSE,2012-02-01
440574000,2012,2,665.493611111111,FALSE,FALSE,2012-02-01
36764000,2012,2,318.729027777778,FALSE,FALSE,2012-02-01
440895000,2012,2,371.112083333333,FALSE,FALSE,2012-02-01
440648000,2012,2,449.834166666667,FALSE,FALSE,2012-02-01
440858000,2012,2,491.019583333333,FALSE,FALSE,2012-02-01
440517000,2012,6,148.501944444444,FALSE,FALSE,2012-06-01
440826000,2012,2,97.6354166666667,FALSE,FALSE,2012-02-01
440823000,2012,2,63.1280555555556,FALSE,FALSE,2012-02-01
440781000,2012,2,456.332638888889,FALSE,FALSE,2012-02-01
440636000,2012,2,493.302638888889,FALSE,FALSE,2012-02-01
735059089,2012,3,110.764444444444,FALSE,FALSE,2012-03-01
538060018,2012,4,4.03819444444444,FALSE,FALSE,2012-04-01
440462000,2012,2,123.837083333333,FALSE,FALSE,2012-02-01
441084000,2012,2,101.448333333333,FALSE,FALSE,2012-02-01
440975000,2012,3,32.7394444444444,FALSE,FALSE,2012-03-01
440444000,2012,3,0.790416666666667,FALSE,FALSE,2012-03-01
441493000,2012,3,30.8076388888889,FALSE,FALSE,2012-03-01
440575000,2012,2,69.1316666666667,FALSE,FALSE,2012-02-01
440575000,2012,3,29.8180555555556,FALSE,FALSE,2012-03-01
548831000,2012,1,91.7206944444445,FALSE,FALSE,2012-01-01
440670000,2012,1,418.722083333333,FALSE,FALSE,2012-01-01
440787000,2012,1,523.210833333333,FALSE,FALSE,2012-01-01
441043000,2012,1,544.506527777778,FALSE,FALSE,2012-01-01
440820000,2012,1,472.1125,FALSE,FALSE,2012-01-01
440952000,2012,1,343.739583333333,FALSE,FALSE,2012-01-01
440788000,2012,1,350.699722222222,FALSE,FALSE,2012-01-01
440617000,2012,1,439.869305555555,FALSE,FALSE,2012-01-01
440773000,2012,1,360.218194444445,FALSE,FALSE,2012-01-01
432365000,2012,1,407.426111111111,FALSE,FALSE,2012-01-01
440620000,2012,1,579.159305555555,FALSE,FALSE,2012-01-01
440926000,2012,1,409.045555555556,FALSE,FALSE,2012-01-01
440733000,2012,1,160.123472222222,FALSE,FALSE,2012-01-01
440549000,2012,1,477.436805555555,FALSE,FALSE,2012-01-01
441483000,2012,1,370.575138888889,FALSE,FALSE,2012-01-01
440900000,2012,1,521.584861111111,FALSE,FALSE,2012-01-01
440765000,2012,1,380.789027777778,FALSE,FALSE,2012-01-01
440671000,2012,1,95.99875,FALSE,FALSE,2012-01-01
440575000,2012,1,83.2156944444445,FALSE,FALSE,2012-01-01
440450000,2012,1,119.565972222222,FALSE,FALSE,2012-01-01
440492000,2012,1,95.64625,FALSE,FALSE,2012-01-01
440705000,2012,1,472.152361111111,FALSE,FALSE,2012-01-01
440246000,2012,1,383.018055555555,FALSE,FALSE,2012-01-01
529440000,2012,1,92.1555555555555,TRUE,FALSE,2012-01-01
441066000,2012,1,102.065972222222,FALSE,FALSE,2012-01-01
440233000,2012,1,98.0865277777778,FALSE,FALSE,2012-01-01
440975000,2012,1,53.9359722222222,FALSE,FALSE,2012-01-01
538060005,2012,1,55.9630555555556,FALSE,FALSE,2012-01-01
36764000,2012,1,67.6991666666667,FALSE,FALSE,2012-01-01
440647000,2012,1,1.89333333333333,FALSE,FALSE,2012-01-01
416003709,2016,10,708.001666666667,FALSE,TRUE,2016-10-01
529783000,2016,10,61.895,TRUE,TRUE,2016-10-01
416004242,2016,10,82.6779166666667,FALSE,TRUE,2016-10-01
440604000,2016,10,649.781527777778,FALSE,TRUE,2016-10-01
440895000,2016,10,677.447916666667,FALSE,TRUE,2016-10-01
441483000,2016,10,669.289444444444,FALSE,TRUE,2016-10-01
440787000,2016,10,660.065138888889,FALSE,TRUE,2016-10-01
441644000,2016,10,696.5525,FALSE,TRUE,2016-10-01
440782000,2016,10,231.341666666667,FALSE,TRUE,2016-10-01
441660000,2016,10,689.278888888889,FALSE,TRUE,2016-10-01
440522000,2016,10,644.140694444444,FALSE,TRUE,2016-10-01
440612000,2016,10,713.36125,FALSE,TRUE,2016-10-01
520238000,2016,10,305.159444444444,FALSE,TRUE,2016-10-01
520217000,2016,10,625.766666666667,FALSE,TRUE,2016-10-01
412370007,2016,10,925.990972222222,FALSE,TRUE,2016-10-01
441098000,2016,10,622.115277777778,FALSE,TRUE,2016-10-01
440617000,2016,10,468.601388888889,FALSE,TRUE,2016-10-01
440820000,2016,10,707.727638888889,FALSE,TRUE,2016-10-01
440055000,2016,10,682.041805555555,FALSE,TRUE,2016-10-01
338539000,2016,10,98.955,FALSE,TRUE,2016-10-01
440703000,2016,10,655.120833333333,FALSE,TRUE,2016-10-01
440045000,2016,10,546.655833333333,FALSE,TRUE,2016-10-01
441812000,2016,10,655.748611111111,FALSE,TRUE,2016-10-01
440954000,2016,10,251.754305555556,FALSE,TRUE,2016-10-01
440807000,2016,10,714.434027777778,FALSE,TRUE,2016-10-01
441650000,2016,10,628.134444444445,FALSE,TRUE,2016-10-01
367463000,2016,10,106.332361111111,FALSE,TRUE,2016-10-01
412371194,2016,9,71.9095833333333,FALSE,TRUE,2016-09-01
510062000,2016,9,158.73,FALSE,TRUE,2016-09-01
735057565,2016,9,0.627083333333333,FALSE,TRUE,2016-09-01
440604000,2016,9,586.308333333333,FALSE,TRUE,2016-09-01
441483000,2016,9,588.866805555556,FALSE,TRUE,2016-09-01
440782000,2016,9,631.692083333333,FALSE,TRUE,2016-09-01
440704000,2016,9,604.365138888889,FALSE,TRUE,2016-09-01
441660000,2016,9,649.547083333333,FALSE,TRUE,2016-09-01
440549000,2016,9,620.032777777778,FALSE,TRUE,2016-09-01
520218000,2016,9,672.002916666667,FALSE,TRUE,2016-09-01
412370007,2016,9,1036.34277777778,FALSE,TRUE,2016-09-01
412985000,2016,9,689.730138888889,FALSE,TRUE,2016-09-01
441098000,2016,9,606.246111111111,FALSE,TRUE,2016-09-01
440590000,2016,9,625.699027777778,FALSE,TRUE,2016-09-01
